attendance,endDate,eventID,name,roomNights,rooms,sqft,startDate,subDate,type,isBooked,baselinePrice,cost
22000,42566,5026,Alpha Kappa Alpha Sorority Inc.,22032,"['A-B Connector Concourse East', ' Building A-B Registration Hall', ' Building B-C Connector', ' Exhibit Hall A3', ' Exhibit Hall B1', ' Exhibit Hall B2', ' Exhibit Hall B3', ' Exhibit Hall B4', ' Exhibit Hall B5', ' Exhibit Halls A1-A2 Combined', ' Exhibit Halls C1-C3 Combined', ' Georgia Ballroom 1-3', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Green Room', ' Hall C1 Show Office', ' Hall C2 Show Office', ' Hall C3a Show Office', ' Hall C3b Show Office', ' International Lounge', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A311-A312', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A313-A314', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A315-A316', ' Meeting Room A316', ' Meeting Room A402-A403', ' Meeting Room A404', ' Meeting Room A404-A405', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A406-A407', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411-A412', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Sidney Marcus Auditorium', ' Sidney Marcus Auditorium Foyer', "" Sidney Marcus Auditorium Interpreter's Booth"", ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Dressing Room 5', ' Thomas Murphy Ballroom Dressing Room 6', ' Thomas Murphy Ballroom Dressing Room 7', ' Thomas Murphy Ballroom Dressing Room 8', ' Thomas Murphy Ballroom Galleria']",16662363,42561,41323,CONV,1,,
2586,42677,5055,Medtrade Conference & Expo,8500,"['Exhibit Hall Meeting Room C111', ' Exhibit Hall Meeting Room C112', ' Exhibit Hall Meeting Room C113', ' Exhibit Hall Meeting Room C114', ' Exhibit Halls C1-C3 Combined', ' Hall C1 Show Office', ' Meeting Room C103', ' Meeting Room C104', ' Meeting Room C105', ' Meeting Room C106', ' Meeting Room C107', ' Meeting Room C108', ' Meeting Room C109', ' Meeting Room C110', ' Meeting Room C201', ' Meeting Room C202', ' Meeting Room C203', ' Meeting Room C204', ' Meeting Room C205', ' Meeting Room C206', ' Meeting Room C207', ' Meeting Room C208', ' Meeting Room C209', ' Meeting Room C210', ' Meeting Room C211', ' Meeting Room C212', ' Meeting Room C213', ' Meeting Room C301', ' Meeting Room C302', ' Room C101 Auditorium', ' Room C102 Auditorium']",3016401,42675,41333,CONV,1,,
3400,43034,5056,Medtrade Conference & Expo,8500,"['Building C Level 1 Coat Check', ' Building C Lobby - North', ' Building C Lobby - South', ' Exhibit Hall C4', ' Exhibit Hall Meeting Room C112', ' Exhibit Halls C1-C3 Combined', ' First Aid Room - Hall C1', ' Georgia Ballroom 1', ' Georgia Ballroom 1-3', ' Georgia Ballroom 2-3 Combined', ' Hall C1 Show Office', ' Meeting Room B205', ' Meeting Room C103', ' Meeting Room C104', ' Meeting Room C105', ' Meeting Room C106', ' Meeting Room C107', ' Meeting Room C108', ' Meeting Room C109', ' Meeting Room C110', ' Meeting Room C201', ' Meeting Room C202', ' Meeting Room C203', ' Meeting Room C204', ' Meeting Room C205', ' Meeting Room C206', ' Meeting Room C207', ' Meeting Room C208', ' Meeting Room C209', ' Meeting Room C210', ' Meeting Room C211', ' Meeting Room C212', ' Meeting Room C213', ' Meeting Room C301', ' Meeting Room C302', ' Room C101 Auditorium', ' Room C102 Auditorium']",4531691,43032,42030,CONV,1,,
7459,43383,5057,AAO-HNSF 2018 Annual Meeting & OTO Experience,21546,"['Building A Registration Hall', ' Building B Registration Hall', ' Executive Boardroom', ' Exhibit Hall B1', ' Exhibit Halls B2-B4 Combined', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Thomas Murphy Ballroom 1-4']",6878514,43380,41333,CONV,1,,
7114,42071,5058,"SECO International, LLC",9732,"['Building B Registration Hall', ' Executive Boardroom', ' Exhibit Hall B1', ' Exhibit Hall B4', ' Exhibit Halls B2-B3 Combined', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B313A', ' Meeting Room B313B', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B406A', ' Meeting Room B406B', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Thomas Murphy Ballroom 1-4']",4764175,42067,41493,CONV,1,,
6399,42798,5060,"SECO International, LLC",6680,"['Building A Registration Hall', ' Executive Boardroom', ' Exhibit Hall A3', ' Exhibit Halls A1-A2 Combined', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412']",4354303,42796,42590,CONV,1,,
6842,43163,5061,"SECO International, LLC",6680,"['Building A Registration Hall', ' Executive Boardroom', ' Exhibit Hall A3', ' Exhibit Halls A1-A2 Combined', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Sidney Marcus Auditorium', ' Thomas Murphy Ballroom 1-4']",3829921,43159,42607,CONV,1,,
10000,42879,5106,Association for Talent Development,11500,"['A-B Connector Concourse', ' Building A Registration Hall', ' Building B Registration Hall', ' Executive Boardroom', ' Exhibit Hall B4', ' Exhibit Hall B5', ' Exhibit Halls B1-B3 Combined', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A306', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Sidney Marcus Auditorium', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Dressing Room 5', ' Thomas Murphy Ballroom Dressing Room 6', ' Thomas Murphy Ballroom Dressing Room 7', ' Thomas Murphy Ballroom Dressing Room 8', ' Thomas Murphy Ballroom Galleria']",6700123,42877,41340,CONV,1,,
6945,43057,5125,National Association for the Education of Young Children,24128,"['Building A Registration Hall', ' Exhibit Halls A1-A3 Combined', ' Exhibit Halls B1-B2 Combined', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Sidney Marcus Auditorium', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Dressing Room 5', ' Thomas Murphy Ballroom Dressing Room 6', ' Thomas Murphy Ballroom Dressing Room 7', ' Thomas Murphy Ballroom Dressing Room 8', ' Thomas Murphy Ballroom Galleria']",5997177,43054,41342,CONV,1,,
17000,43688,5135,Fire-Rescue International 2019,20000,"['Building A Registration Hall', ' Building B Registration Hall', ' Exhibit Halls B1-B5 Combined', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313-A314', ' Meeting Room A315-A316', ' Meeting Room A401', ' Meeting Room A402-A403', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A404-A405', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A411-A412', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Galleria']",7666913,43686,41346,CONV,1,,
8995,42758,5142,American Library Association,20160,"['Building A Registration Hall', ' Building B Registration Hall', ' Executive Boardroom', ' Exhibit Hall Meeting Room A101-A103 Combined', ' Exhibit Halls A1-A2 Combined', ' International Conference Room', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Sidney Marcus Auditorium', ' Thomas Murphy Ballroom 1-2', ' Thomas Murphy Ballroom 3-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Dressing Room 5', ' Thomas Murphy Ballroom Dressing Room 6', ' Thomas Murphy Ballroom Dressing Room 7', ' Thomas Murphy Ballroom Dressing Room 8', ' Thomas Murphy Ballroom Galleria']",4699783,42755,41346,CONV,1,,
7500,42694,5146,National Council of Teachers of English,9856,"['Building A Registration Hall', ' Building A-B Registration Hall', ' Building B Registration Hall', ' Executive Boardroom', ' Exhibit Hall A2', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Sidney Marcus Auditorium', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom 2-3', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Dressing Room 5', ' Thomas Murphy Ballroom Dressing Room 6', ' Thomas Murphy Ballroom Dressing Room 7', ' Thomas Murphy Ballroom Dressing Room 8', ' Thomas Murphy Ballroom Galleria']",1992584,42692,40470,CONV,1,,
1090,42955,5148,International Association of Identification,5080,"['Building A-B Registration Hall', ' Executive Boardroom', ' Exhibit Hall A2', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Sidney Marcus Auditorium', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Dressing Room 5', ' Thomas Murphy Ballroom Dressing Room 6', ' Thomas Murphy Ballroom Dressing Room 7', ' Thomas Murphy Ballroom Dressing Room 8', ' Thomas Murphy Ballroom Galleria']",1066147,42954,41346,CONV,1,,
7129,43117,5149,Mary Kay Inc. 2018 Leadership Conference,6500,"['Building A Registration Hall', ' Building B Registration Hall', ' Exhibit Hall B1', ' Exhibit Hall B2', ' Exhibit Hall B3', ' Exhibit Hall B4', ' Exhibit Hall B5', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Sidney Marcus Auditorium', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Dressing Room 5', ' Thomas Murphy Ballroom Dressing Room 6', ' Thomas Murphy Ballroom Dressing Room 7', ' Thomas Murphy Ballroom Dressing Room 8', ' Thomas Murphy Ballroom Galleria']",11790276,43114,41347,CONV,1,,
12796,42439,5152,2016 Pittcon Conference and Expo,52900,"['Building A Registration Hall', ' Building A-B Registration Hall', ' Building B Registration Hall', ' Executive Boardroom', ' Exhibit Halls B1-B5 Combined', ' International Lounge', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Meeting Room C201', ' Meeting Room C202', ' Meeting Room C203', ' Meeting Room C204', ' Meeting Room C205', ' Meeting Room C206', ' Meeting Room C207', ' Meeting Room C208', ' Meeting Room C209', ' Meeting Room C210', ' Meeting Room C211', ' Meeting Room C212', ' Meeting Room C301', ' Sidney Marcus Auditorium', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Dressing Room 5', ' Thomas Murphy Ballroom Dressing Room 6', ' Thomas Murphy Ballroom Dressing Room 7', ' Thomas Murphy Ballroom Dressing Room 8', ' Thomas Murphy Ballroom Galleria']",10833688,42435,41347,CONV,1,,
